date,rv_5min,bv_5min,rk_5min,jump_var,jump_ratio,cont_var,rv_5min_ann,bv_5min_ann,rk_5min_ann,J_stat,p_value,jump_detected,n_jump_bars,max_L_stat,jump_day_lm,jump_intensity
2015-01-05,3.328043345367817e-23,3.6542222604284754e-23,2.34545950938224e-23,0.0,0.0,3.6542222604284754e-23,8.386669230326898e-21,9.208640096279758e-21,5.910557963643245e-21,-0.0,1.0,0,0,0.0,0,0.0
2015-01-06,0.0006094149326486075,0.0006013998083092666,0.0004393716737439893,8.015124339340904e-06,0.013152162667484738,0.0006013998083092666,0.1535725630274491,0.15155275169393517,0.1107216617834853,0.0948,0.924507,0,4,3226.417,1,0.05128205128205128
2015-01-07,0.0003150928410484025,0.00030820381814578734,0.0002691016828601479,6.889022902615183e-06,0.021863470010394383,0.00030820381814578734,0.07940339594419743,0.07766736217273841,0.06781362408075726,0.1575,0.874834,0,0,3.2715,0,0.0
2015-01-08,0.006045582452048501,0.005633606384354431,0.00624805047923795,0.00041197606769406963,0.0681449754252098,0.005633606384354431,1.5234867779162222,1.4196688088573166,1.5745087207679636,0.491,0.623448,0,0,4.3853,0,0.0
2015-01-09,8.938914400177533e-05,8.462676373461999e-05,9.761845131171044e-05,4.762380267155336e-06,0.053276941703164875,8.462676373461999e-05,0.022526064288447382,0.02132594446112424,0.024599849730551033,0.3838,0.70109,0,0,2.8414,0,0.0
2015-01-12,0.0001767839086571951,0.0001506866545335338,0.0002289800362260374,2.6097254123661314e-05,0.14762233833535515,0.0001506866545335338,0.04454954498161317,0.037973036942450515,0.057702969128961425,1.0636,0.287516,0,0,3.2812,0,0.0
2015-01-13,0.0003055958125788648,0.0002517317392731568,0.0004287786190541238,5.3864073305708005e-05,0.1762591989559679,0.0002517317392731568,0.07701014476987393,0.0634363982968355,0.1080522120016392,1.2699,0.204117,0,2,4.9962,1,0.02564102564102564
2015-01-14,0.00010126992922275181,0.00011255768470633479,0.0001372623690176905,0.0,0.0,0.00011255768470633479,0.025520022164133457,0.028364536545996365,0.03459011699245801,-0.8031,0.42194,0,0,3.5864,0,0.0
2015-01-15,0.00022706699318899104,0.00020759425455661352,0.00022093452020091977,1.9472738632377517e-05,0.08575768002711166,0.00020759425455661352,0.05722088228362574,0.052313752148266605,0.05567549909063178,0.6179,0.536664,0,0,2.7778,0,0.0
2015-01-16,0.000166871818027492,0.0001522857116617338,0.0002276279187576306,1.4586106365758214e-05,0.08740904516271357,0.0001522857116617338,0.04205169814292799,0.03837599933875692,0.05736223552692291,0.6298,0.528849,0,0,3.5425,0,0.0
2015-01-20,4.534653642394537e-06,4.780990966858635e-06,4.356052657975836e-06,0.0,0.0,4.780990966858635e-06,0.0011427327178834233,0.001204809723648376,0.0010977252698099109,-0.3914,0.695511,0,0,3.7712,0,0.0
2015-01-21,4.902965919046692e-05,5.20649640371707e-05,2.8990314355477618e-05,0.0,0.0,5.20649640371707e-05,0.012355474115997665,0.013120370937367017,0.00730555921758036,-0.446,0.655575,0,0,3.1631,0,0.0
2015-01-22,2.6834487673418677e-05,2.7380918928987014e-05,3.686499719862317e-05,0.0,0.0,2.7380918928987014e-05,0.006762290893701507,0.006899991570104728,0.009289979294053037,-0.1467,0.88336,0,0,3.7421,0,0.0
2015-01-23,0.00034604162984610236,0.0003525478446991317,0.00031755144158412404,0.0,0.0,0.0003525478446991317,0.0872024907212178,0.08884205686418119,0.08002296327919926,-0.1355,0.892246,0,1,4.6992,1,0.01282051282051282
2015-01-26,4.359990693971315e-06,4.080844420589955e-06,3.889090109862227e-06,2.7914627338136053e-07,0.06402449659877656,4.080844420589955e-06,0.0010987176548807715,0.0010283727939886687,0.0009800507076852814,0.4613,0.644596,0,0,2.6852,0,0.0
2015-01-27,0.0001810733056109869,0.0001784253555111724,0.00018453421231280295,2.647950099814487e-06,0.014623635859830366,0.0001784253555111724,0.0456304730139687,0.04496318958881545,0.046502621502826344,0.1054,0.91609,0,2,8.0272,1,0.02564102564102564
2015-01-28,4.5909940568901814e-05,4.166204641588969e-05,6.098448938981256e-05,4.247894153012125e-06,0.09252667304393906,4.166204641588969e-05,0.011569305023363258,0.010498835696804201,0.015368091326232765,0.6666,0.505005,0,0,2.6423,0,0.0
2015-01-29,8.237528312589681e-05,7.25003587091668e-05,6.75639905577532e-05,9.87492441673002e-06,0.11987727291644729,7.25003587091668e-05,0.020758571347725997,0.01827009039471003,0.017026125620553806,0.8637,0.387758,0,0,2.9022,0,0.0
2015-01-30,0.027184101773476393,0.028898922297104616,0.037756333638118963,0.0,0.0,0.028898922297104616,6.850393646916051,7.282528418870363,9.51459607680598,-0.4545,0.649476,0,2,21.1186,1,0.02564102564102564
2015-02-02,7.76927479809846e-05,6.439674284148235e-05,6.0510385463275985e-05,1.3296005139502257e-05,0.1711357277724395,6.439674284148235e-05,0.019578572491208122,0.016227979196053552,0.015248617136745548,1.233,0.217577,0,0,3.0837,0,0.0
2015-02-03,0.33756709446045985,0.31121774284786263,0.49926849612653573,0.026349351612597216,0.0780566353916511,0.31121774284786263,85.06690780403588,78.42687119766138,125.815661023887,0.5624,0.573856,0,3,39.9575,1,0.038461538461538464
2015-02-04,2.024188458017022e-05,2.0704119436441592e-05,2.3268900251186167e-05,0.0,0.0,2.0704119436441592e-05,0.005100954914202895,0.005217438097983282,0.005863762863298914,-0.1645,0.869318,0,0,3.1596,0,0.0
2015-02-05,4.8891285556457735e-05,4.837203845453578e-05,5.015815825373508e-05,5.192471019219519e-07,0.010620442587910745,4.837203845453578e-05,0.012320603960227348,0.012189753690543018,0.01263985587994124,0.0765,0.939007,0,0,3.2898,0,0.0
