datetime,date,bar,Open,High,Low,Close,log_ret
2015-01-05 09:30:00,2015-01-05,0,23.511,23.5272,23.4949,23.511,2.8863897851745185e-13
2015-01-05 09:35:00,2015-01-05,1,23.511,23.519,23.5031,23.511,-9.76655746415202e-13
2015-01-05 09:40:00,2015-01-05,2,23.511,23.5226,23.4994,23.511,6.987620675878882e-13
2015-01-05 09:45:00,2015-01-05,3,23.511,23.5277,23.4944,23.511,8.684123971528846e-13
2015-01-05 09:50:00,2015-01-05,4,23.511,23.5201,23.502,23.511,-1.7863821685866227e-12
2015-01-05 09:55:00,2015-01-05,5,23.511,23.5205,23.5016,23.511,-1.1824879298087559e-12
2015-01-05 10:00:00,2015-01-05,6,23.511,23.5404,23.4817,23.511,1.1514855472225675e-13
2015-01-05 10:05:00,2015-01-05,7,23.511,23.5229,23.4992,23.511,-2.8257028609971175e-13
2015-01-05 10:10:00,2015-01-05,8,23.511,23.5224,23.4997,23.511,-1.489415333522822e-14
2015-01-05 10:15:00,2015-01-05,9,23.511,23.5113,23.5107,23.511,-7.50372221508043e-13
2015-01-05 10:20:00,2015-01-05,10,23.511,23.5225,23.4996,23.511,7.676820827044352e-13
2015-01-05 10:25:00,2015-01-05,11,23.511,23.5216,23.5005,23.511,6.739311111374644e-13
2015-01-05 10:30:00,2015-01-05,12,23.511,23.5267,23.4954,23.511,5.679673360167093e-14
2015-01-05 10:35:00,2015-01-05,13,23.511,23.5133,23.5088,23.511,9.627040833513468e-13
2015-01-05 10:40:00,2015-01-05,14,23.511,23.5208,23.5013,23.511,3.964985989702465e-13
2015-01-05 10:45:00,2015-01-05,15,23.511,23.5129,23.5092,23.511,-7.238499937098317e-13
2015-01-05 10:50:00,2015-01-05,16,23.511,23.5496,23.4725,23.511,3.085897119242133e-13
2015-01-05 10:55:00,2015-01-05,17,23.511,23.5439,23.4782,23.511,-7.973398561526673e-13
2015-01-05 11:00:00,2015-01-05,18,23.511,23.5409,23.4812,23.511,7.259677345267601e-13
2015-01-05 11:05:00,2015-01-05,19,23.511,23.5334,23.4887,23.511,-4.10151830090285e-14
2015-01-05 11:10:00,2015-01-05,20,23.511,23.52,23.5021,23.511,-1.5100314997260647e-13
2015-01-05 11:15:00,2015-01-05,21,23.511,23.5311,23.491,23.511,-5.531751691885437e-13
2015-01-05 11:20:00,2015-01-05,22,23.511,23.5194,23.5027,23.511,9.879954758638086e-13
2015-01-05 11:25:00,2015-01-05,23,23.511,23.5395,23.4826,23.511,-1.2426397776109692e-13
2015-01-05 11:30:00,2015-01-05,24,23.511,23.5188,23.5033,23.511,-3.428213615219371e-13
2015-01-05 11:35:00,2015-01-05,25,23.511,23.5271,23.495,23.511,-2.805920425479825e-13
2015-01-05 11:40:00,2015-01-05,26,23.511,23.5312,23.4908,23.511,4.224061906507408e-13
2015-01-05 11:45:00,2015-01-05,27,23.511,23.5155,23.5066,23.511,2.88875566329723e-13
2015-01-05 11:50:00,2015-01-05,28,23.511,23.5315,23.4906,23.511,3.250951684091137e-13
2015-01-05 11:55:00,2015-01-05,29,23.511,23.5183,23.5038,23.511,3.382373231960247e-13
2015-01-05 12:00:00,2015-01-05,30,23.511,23.529,23.4931,23.511,1.6764451762641598e-12
2015-01-05 12:05:00,2015-01-05,31,23.511,23.5478,23.4743,23.511,-3.1729553633454126e-13
2015-01-05 12:10:00,2015-01-05,32,23.511,23.5203,23.5018,23.511,-3.989893347374915e-13
2015-01-05 12:15:00,2015-01-05,33,23.511,23.5161,23.506,23.511,-6.325869707026445e-13
2015-01-05 12:20:00,2015-01-05,34,23.511,23.5236,23.4985,23.511,4.780320434340856e-13
2015-01-05 12:25:00,2015-01-05,35,23.511,23.5416,23.4805,23.511,8.749662254432811e-13
2015-01-05 12:30:00,2015-01-05,36,23.511,23.5126,23.5095,23.511,-8.822151614709944e-14
2015-01-05 12:35:00,2015-01-05,37,23.511,23.5222,23.4999,23.511,-6.500361055838421e-13
2015-01-05 12:40:00,2015-01-05,38,23.511,23.516,23.5061,23.511,-6.376929692137246e-13
2015-01-05 12:45:00,2015-01-05,39,23.511,23.5115,23.5106,23.511,5.03199392200994e-13
2015-01-05 12:50:00,2015-01-05,40,23.511,23.5448,23.4773,23.511,5.750619797097399e-13
2015-01-05 12:55:00,2015-01-05,41,23.511,23.5161,23.506,23.511,4.2052621478213947e-13
2015-01-05 13:00:00,2015-01-05,42,23.511,23.5327,23.4894,23.511,-5.157775087454776e-13
2015-01-05 13:05:00,2015-01-05,43,23.511,23.5148,23.5073,23.511,1.801692517713008e-13
2015-01-05 13:10:00,2015-01-05,44,23.511,23.5157,23.5064,23.511,9.070581990041359e-14
2015-01-05 13:15:00,2015-01-05,45,23.511,23.5399,23.4822,23.511,1.7033803072566189e-13
2015-01-05 13:20:00,2015-01-05,46,23.511,23.5288,23.4933,23.511,6.80340170341431e-13
2015-01-05 13:25:00,2015-01-05,47,23.511,23.5187,23.5034,23.511,1.750267779933075e-13
2015-01-05 13:30:00,2015-01-05,48,23.511,23.5424,23.4797,23.511,5.330146502878635e-13
2015-01-05 13:35:00,2015-01-05,49,23.511,23.5366,23.4855,23.511,5.322969002005535e-14
2015-01-05 13:40:00,2015-01-05,50,23.511,23.5248,23.4973,23.511,2.285425819648031e-13
2015-01-05 13:45:00,2015-01-05,51,23.511,23.5311,23.491,23.511,5.009495644940311e-13
2015-01-05 13:50:00,2015-01-05,52,23.511,23.5195,23.5026,23.511,-1.1611115363392454e-12
2015-01-05 13:55:00,2015-01-05,53,23.511,23.5411,23.481,23.511,-2.5585571602036127e-13
2015-01-05 14:00:00,2015-01-05,54,23.511,23.525,23.4971,23.511,-3.7824741447359433e-13
2015-01-05 14:05:00,2015-01-05,55,23.511,23.5159,23.5062,23.511,-5.163084500509702e-13
2015-01-05 14:10:00,2015-01-05,56,23.511,23.5436,23.4785,23.511,-2.2352071902896941e-13
2015-01-05 14:15:00,2015-01-05,57,23.511,23.5337,23.4884,23.511,1.2211292914974738e-12
2015-01-05 14:20:00,2015-01-05,58,23.511,23.5181,23.504,23.511,-7.11298421271632e-13
2015-01-05 14:25:00,2015-01-05,59,23.511,23.5299,23.4922,23.511,8.002033153474847e-13
2015-01-05 14:30:00,2015-01-05,60,23.511,23.5563,23.4658,23.511,-1.3993570646330974e-12
2015-01-05 14:35:00,2015-01-05,61,23.511,23.5775,23.4446,23.511,-2.8024909882746606e-13
2015-01-05 14:40:00,2015-01-05,62,23.511,23.5206,23.5015,23.511,1.3709977713201722e-13
